releaseDate,number,guests,bestOf,live
2017-05-01,485,"[""8th Anniversary: Jon Gabrus"", ""Paul F. Tompkins"", ""Lauren Lapkus"", ""Zeke Nicholson"", ""Carl Tart"", ""Mary Holland"", ""Mike Hanford"", ""Jessica McKenna"", ""Tawny Newsome"", ""Tim Baltz"", ""Ryan Gaul"", ""Drew Tarver"", ""Jeremy Rowley"", ""Nick Kroll""]",False,False
2017-04-24,484,"[""Jason Mantzoukas"", ""Jon Gabrus"", ""Paul F. Tompkins""]",False,False
2017-04-20,483,"[""Neil Campbell"", ""Zeke Nicholson"", ""Matt Besser""]",False,False
2017-04-17,482,"[""Joel Hodgson"", ""Jonah Ray"", ""Baron Vaughn"", ""Alison Rich"", ""Horatio Sanz""]",False,False
2017-04-10,481,"[""Thomas Middleditch"", ""Kumail Nanjiani"", ""Martin Starr""]",False,False
2017-04-06,480,"[""Jane Lynch"", ""Kate Mines"", ""Paul Witten"", ""Drew Tarver"", ""Madeline Walter""]",False,False
2017-04-03,479,"[""Gerry Duggan"", ""Paul Brittain"", ""Kirby Howell-Baptiste""]",False,False
2017-03-27,478,"[""Kristian Bruun"", ""Tatiana Maslany"", ""Paul F. Tompkins"", ""Mary Holland"", ""Lauren Lapkus""]",False,False
2017-03-23,477,"[""American Football"", ""Mike Hanford"", ""Mary Holland"", ""Tim Baltz""]",False,False
2017-03-20,476,"[""Ryan Gaul"", ""Heidi Gardner"", ""Jordan Black""]",False,False
2017-03-13,475,"[""Andy Daly"", ""Jon Gabrus""]",False,False
2017-03-06,474,"[""Gillian Jacobs"", ""Paul Rust"", ""Paul F. Tompkins""]",False,False
2017-02-27,473,"[""Ben Schwartz"", ""Thomas Middleditch""]",False,False
2017-02-23,472,"[""Kurt Braunohler"", ""Will Hines"", ""Holly Prazoff""]",False,False
2017-02-20,471,"[""Jason Mantzoukas"", ""Kate Berlant"", ""John Early""]",False,False
2017-02-13,470,"[""Electric Guest"", ""Mary Holland"", ""Erin Whitehead""]",False,False
2017-02-06,469,"[""John Hodgman"", ""Zeke Nicholson"", ""Carl Tart""]",False,False
2017-01-30,468,"[""Rachel Bloom"", ""Jeremy Rowley"", ""Anthony Atamanuik"", ""Mike Hanford""]",False,False
2017-01-23,467,"[""Paul Scheer"", ""Michelle Biloon"", ""Mike O'Brien""]",False,False
2017-01-16,466,"[""Brendon Walsh"", ""Randy Liedtke"", ""Lauren Lapkus""]",False,False
2017-01-09,465,"[""Matt Besser"", ""Jessica McKenna"", ""Gil Ozeri""]",False,False
2017-01-02,464,"[""Ben Schwartz"", ""Horatio Sanz""]",False,False
2016-12-29,2016.4,[],True,False
2016-12-26,2016.3,[],True,False
2016-12-22,2016.2,[],True,False
2016-12-19,2016.1,[],True,False
2016-12-12,463,"[""Xmas: Jason Mantzoukas"", ""Jon Gabrus"", ""Mike Hanford"", ""Paul F. Tompkins"", ""Tawny Newsome"", ""Tim Baltz"", ""Neil Campbell"", ""Rhea Butcher"", ""Will Hines"", ""Ryan Gaul"", ""Jeremy Rowley"", ""Drew Tarver"", ""James Adomian"", ""Zeke Nicholson"", ""Brendon Small""]",False,False
2016-12-05,462,"[""Nick Thune"", ""Moshe Kasher"", ""Lauren Lapkus""]",False,False
2016-12-01,461,"[""Adal Rifai"", ""Arnie Niekamp"", ""Matt Young""]",False,False
2016-11-28,460,"[""Weird Al Yankovic"", ""Ryan Gaul"", ""Jeremy Rowley"", ""Drew Tarver""]",False,False
2016-11-21,459,"[""Maria Thayer"", ""James Adomian"", ""Tawny Newsome""]",False,False
2016-11-17,458,"[""Ben Schwartz""]",False,False
2016-11-14,457,"[""Michael Showalter"", ""Paul Brittain"", ""Jeremy Rowley""]",False,False
2016-11-07,456,"[""Jason Mantzoukas"", ""Paul F. Tompkins""]",False,False
2016-11-03,455,"[""Bob Odenkirk"", ""Tim Kalpakis"", ""Dave Ferguson"", ""Mike Hanford"", ""Rhea Butcher"", ""Eban Schletter""]",False,False
2016-10-31,454,"[""Halloween"", ""Jon Daly"", ""Allan McLeod"", ""Paul Rust"", ""Nick Wiger"", ""Caroline Anderson""]",False,False
